Date,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
2020-12-02,23736900,9199700,4121900,2181700,23620000,45927000,1404100,2906400,75483600,57471800
2020-12-03,21132500,10457300,3068500,1462600,22828700,62882000,1250100,2307200,72975400,49566000
2020-12-04,15779200,10098600,4091800,1774100,19332100,50749900,1304400,2954400,103700400,52713100
2020-12-07,26606200,10555100,3162300,5240400,20851000,48944300,939100,3588800,69313200,34631600
2020-12-08,15029700,6348400,3491100,1952200,18341500,42458900,931300,3334400,57854600,31628500
2020-12-09,26711300,10743200,3758200,4485500,48839300,74098300,1210600,7505600,86691800,47589600
2020-12-10,17178600,6564000,3151100,7968000,27519500,57735400,1254500,6369600,77604400,41298300
2020-12-11,13294100,6084800,4501600,2515600,26760400,57698600,1015100,3390400,56152200,48216300
2020-12-14,27931000,7644400,3797600,2358900,28804800,69216200,1299100,2468800,79884400,38302900
2020-12-15,24406300,6840500,8472400,1854900,25709000,63865300,926200,3760800,58671800,38604200
2020-12-16,21498600,8174700,5512900,3575500,25461900,58420500,836800,2983200,47628800,55602800
2020-12-17,41042600,9475800,6485600,2013000,23730500,64119500,883300,3898400,46363400,38510900
2020-12-18,21979800,6789900,6697600,3655500,41173400,136542300,1251600,3024000,73140400,56080100
2020-12-21,18383700,8168900,5221600,5223500,37095500,96386700,1350200,4828800,80158800,77688100
2020-12-22,34660000,9442400,3431600,1290900,26176300,47949000,937700,4200000,50185800,42317900
2020-12-23,25420100,6542800,3234300,2271000,21201300,46201400,1006400,3109600,53931800,52681400
2020-12-24,14138500,3695400,2040700,1071900,16785000,26457900,500200,1459200,22903000,16071000
2020-12-28,17137400,7778700,2342800,1686200,22497700,39000400,929000,4860800,37824600,32824800
2020-12-29,19650400,5983700,5401600,1805600,25871900,53680500,897700,4262400,37968600,23607000
2020-12-30,18311400,5914000,2727500,1492700,18138100,49455300,994000,2836000,56436600,16616700
2020-12-31,18772700,7540800,4712800,1592000,21611400,78520700,932500,3288000,36309800,26239300
2021-01-04,54565100,14331400,7103700,2886500,45305900,110210800,1752000,6480800,67717600,47086300
2021-01-05,28068400,12718800,4310500,3075200,29323400,66426200,2150600,3568000,95473400,35265400
2021-01-06,31826300,18453500,4343100,6080500,52809600,107997700,1690400,6245600,86262800,102254900
2021-01-07,18728600,7110200,6051700,3008300,30394800,68766800,1992000,4467200,51457200,64342700
2021-01-08,49003500,24399900,3400200,2088000,33955800,71677200,939900,4316800,62744000,54266400
2021-01-11,26242200,8571400,3360700,2387900,32746400,51034700,959700,5318400,46890400,56590400
2021-01-12,20901200,9798500,3494600,2467400,29266800,52547700,3394300,14567200,87947200,60546600
2021-01-13,15130300,14110300,3764900,2002200,22898400,45303600,1028600,3872800,54764400,55394700
2021-01-14,17274600,13522700,7004300,2289500,23500100,49989100,1170900,3349600,83314600,49828800
2021-01-15,26520200,16172500,10182500,2976500,35118700,107160000,1585300,4156000,95497000,68732700
2021-01-19,26382600,7485700,7103200,6340100,24537000,51233300,1050600,4024800,55619400,97457200
2021-01-20,30193200,9456000,3431200,2447900,30728100,61836100,1090800,3961600,50725600,56113100
2021-01-21,19605500,7246800,3556200,1769900,25130600,47840100,1773100,3644800,59968000,43713800
2021-01-22,27744200,7269600,3739800,2476900,21609400,52860500,899000,3693600,50444600,37928000
2021-01-25,15905600,5936800,3890100,2846300,39080600,70402000,1181600,6279200,81823200,68321500
2021-01-26,13110800,4685600,2219200,2068800,25498100,42665300,810200,6351200,54999600,55504600
2021-01-27,31884800,9036500,5592600,5464300,55264000,123351100,1517000,10807200,99867200,84059200
2021-01-28,35106700,9392400,5677800,3038300,42836300,94198100,805700,3753600,57248200,62985900
2021-01-29,21743700,11252800,5001300,3786800,55259000,126765100,1047200,7924000,63069000,78260700
2021-02-01,33084900,9105500,4393200,3325500,35646000,75817600,897300,5582400,61021400,41947400
2021-02-02,22560800,7221700,3672300,2581900,33930800,64450700,827800,3616000,63929000,54263000
2021-02-03,16858300,4658100,3247000,3033000,24824500,52427100,1074700,3337600,74385600,46195200
2021-02-04,26075900,13736600,1959700,2939100,22350900,47142600,972000,3020800,48327800,63061800
2021-02-05,20322700,6538500,2559900,2240300,22732000,48669800,1276300,2907200,48196400,38461900
2021-02-08,18754700,6887500,3315300,2811600,20462800,38365200,1449200,3248800,62368200,48756300
2021-02-09,18531700,5131800,4725500,3888400,17597500,35551100,826900,4436000,64798800,33572000
2021-02-10,11694000,6112800,2566000,1500300,28068700,59154400,1069900,3140000,58451000,38899600
2021-02-11,19890700,5994500,3114200,1405700,22046100,42913300,838900,4443200,49632600,31909500
2021-02-12,15849300,6018900,1945900,1696300,20346800,50593300,681300,2377600,47400800,38271800
2021-02-16,22539100,14761100,2379300,1965900,27080800,50972400,891900,3397600,76593400,71330600
2021-02-17,27632700,11400700,2418900,2762800,31360300,52290600,1011300,3560000,68964400,60460900
2021-02-18,20776400,7498200,2840100,1816300,32236200,59712800,840400,2912800,61360200,45188200
2021-02-19,17823000,8273500,3051200,1958800,39157700,83241000,463400,2415200,54404200,54361800
2021-02-22,27938300,10072000,2878300,2584200,47256900,67414200,1222800,3908800,75644600,65930200
2021-02-23,25669700,8616800,4439600,4267100,97241900,107284100,1412400,9191200,98370800,94331400
2021-02-24,18766000,8890600,3386600,4948400,58206300,72433900,1560700,5368800,77748800,66000600
2021-02-25,36436000,16359400,6216300,5020400,110182600,146670500,1701100,5407200,75887800,92189400
2021-02-26,39888800,23730400,6449900,5807200,104739800,152701600,2082800,5277600,90308800,103105700
2021-03-01,25851400,13828300,3900900,3720800,49164500,105348800,1350800,5344000,69391600,67590700
2021-03-02,27817700,11424600,4502400,4021700,48370000,79595300,1317400,3537600,74468200,49987000
2021-03-03,34117000,13059900,5415300,4023500,86301100,119940200,1496800,4440000,82574400,72541700
2021-03-04,37821800,13870100,7556100,5356000,139131600,183433000,2107400,9154400,107573800,101311800
